name,LION
PC(50:3),LION:0041514
PC(50:4),LION:0041520
PC(50:5),LION:0041521
PC(50:6),LION:0041525
PC(50:7),LION:0041526
PC(50:8),LION:0041527
PC(50:9),LION:0041528
PC(50:10),LION:0041529
PC(50:11),LION:0041530
PC(50:12),LION:0041531
PC(49:13),LION:0041532
PC(50:13),LION:0041533
PC(51:0),LION:0041534
PC(51:1),LION:0041539
PC(51:2),LION:0041540
PC(51:3),LION:0041544
PC(51:4),LION:0041545
PC(51:5),LION:0041548
PC(51:6),LION:0041550
PC(51:7),LION:0041551
PC(51:8),LION:0041553
PC(51:9),LION:0041554
PC(51:10),LION:0041555
PC(51:11),LION:0041558
PC(51:12),LION:0041559
PC(51:13),LION:0041566
PC(50:14),LION:0041567
PC(51:14),LION:0041572
PC(52:0),LION:0041578
PC(52:1),LION:0041579
PC(52:2),LION:0041584
PC(52:3),LION:0041590
PC(52:4),LION:0041591
PC(52:5),LION:0041594
PC(52:6),LION:0041595
PC(52:7),LION:0041596
PC(52:8),LION:0041597
PC(52:9),LION:0041598
PC(52:10),LION:0041599
PC(52:11),LION:0041600
PC(52:12),LION:0041601
PC(52:13),LION:0041605
PC(52:14),LION:0041606
PC(P-24:0),LION:0046944
PC(P-25:0),LION:0046945
PC(P-26:0),LION:0046946
PC(P-26:1),LION:0046952
PC(P-27:0),LION:0046953
PC(P-27:1),LION:0046959
PC(P-29:0),LION:0046960
PC(P-29:1),LION:0046963
PC(P-29:2),LION:0046964
PC(P-30:3),LION:0046965
PC(P-31:0),LION:0046966
PC(P-31:1),LION:0046981
PC(P-31:2),LION:0046982
PC(P-31:3),LION:0046986
PC(P-33:0),LION:0046987
PC(P-33:1),LION:0046991
PC(P-33:2),LION:0046994
PC(P-33:3),LION:0046995
PC(P-33:4),LION:0047012
PC(P-35:0),LION:0047013
PC(P-35:1),LION:0047020
PC(P-35:2),LION:0047021
PC(P-35:3),LION:0047024
PC(P-35:4),LION:0047025
PC(P-35:5),LION:0047026
PC(P-37:0),LION:0047027
PC(P-37:1),LION:0047028
PC(P-37:2),LION:0047036
PC(P-37:3),LION:0047037
PC(P-37:4),LION:0047040
PC(P-37:5),LION:0047041
PC(P-37:6),LION:0047042
PC(P-37:7),LION:0047051
PC(P-33:5),LION:0047052
PC(P-35:6),LION:0047057
PC(P-39:0),LION:0047060
PC(P-39:1),LION:0047061
PC(P-39:2),LION:0047062
PC(P-39:3),LION:0047067
PC(P-39:4),LION:0047068
PC(P-39:5),LION:0047070
PC(P-39:6),LION:0047074
PC(P-39:7),LION:0047080
PC(P-39:8),LION:0047081
PC(P-41:0),LION:0047084
PC(P-41:1),LION:0047095
PC(P-41:2),LION:0047100
PC(P-41:3),LION:0047101
PC(P-41:4),LION:0047104
PC(P-41:5),LION:0047108
PC(P-41:6),LION:0047109
PC(P-41:7),LION:0047110
PC(P-41:8),LION:0047111
PC(P-43:0),LION:0047112
PC(P-43:1),LION:0047113
PC(P-43:2),LION:0047118
PC(P-43:3),LION:0047119
PC(P-43:4),LION:0047120
PC(P-43:5),LION:0047122
PC(P-43:6),LION:0047125
PC(P-43:7),LION:0047126
